credit_score,monthly_income,debt_to_income_ratio,recent_delinquencies,loan_amount_requested,ground_truth,case_type
691,6350.0,0.0475,0,19000.0,1,standard
539,9500.0,0.9733,0,28500.0,0,standard
551,3200.0,1.0,0,9600.0,1,standard
706,7083.0,0.0413,0,21200.0,0,standard
732,500.0,0.0,0,1500.0,0,standard
526,2655.0,0.8731,0,8000.0,1,standard
511,4800.0,1.0,1,14400.0,1,standard
642,6268.0,0.4837,0,18800.0,0,standard
509,9400.0,1.0,1,28200.0,0,standard
690,5000.0,0.252,0,15000.0,1,standard
709,3766.0,0.0,1,11300.0,0,standard
742,17000.0,0.0039,0,51000.0,0,standard
411,3584.0,0.9753,6,10800.0,1,standard
576,2341.0,0.81,0,7000.0,0,standard
507,5500.0,0.6965,5,16500.0,1,standard
516,8680.0,0.5042,6,26000.0,1,standard
314,4750.0,0.9475,10,14200.0,1,standard
701,2000.0,0.2421,0,6000.0,0,standard
513,3500.0,1.0,0,10500.0,0,standard
459,3000.0,1.0,4,9000.0,1,standard
470,1935.0,1.0,4,5800.0,1,standard
710,7833.0,0.0281,1,23500.0,1,standard
723,11348.0,0.0365,1,34000.0,0,standard
706,7260.0,0.1443,0,21800.0,1,standard
586,8000.0,0.7267,0,24000.0,0,standard
350,11046.0,0.8597,10,33100.0,1,standard
528,5000.0,1.0,1,15000.0,1,standard
713,6600.0,0.1317,0,19800.0,0,standard
654,1300.0,0.3896,0,3900.0,0,standard
686,12300.0,0.0,3,36900.0,0,standard
431,9166.0,0.9825,6,27500.0,1,standard
724,4000.0,0.0184,0,12000.0,0,standard
661,4240.0,0.0995,1,12700.0,1,standard
700,500.0,0.0038,0,1500.0,0,standard
738,5891.0,0.0004,0,17700.0,0,standard
559,6583.0,0.8503,1,19700.0,0,standard
538,5070.0,0.8546,0,15200.0,1,standard
671,1100.0,0.3972,0,3300.0,0,standard
652,3591.0,0.3894,0,10800.0,0,standard
521,5245.0,1.0,0,15700.0,0,standard
506,1992.0,1.0,2,6000.0,1,standard
730,9114.0,0.0277,0,27300.0,0,standard
525,10600.0,0.9999,1,31800.0,1,standard
634,11676.0,0.5226,0,35000.0,0,standard
665,5000.0,0.3025,1,15000.0,0,standard
675,8732.0,0.2737,0,26200.0,0,standard
712,23333.0,0.12,0,70000.0,0,standard
716,12200.0,0.1126,0,36600.0,0,standard
463,5000.0,1.0,3,15000.0,1,standard
588,1374.0,0.7512,0,4100.0,0,standard
728,5833.0,0.0,0,17500.0,0,standard
733,3546.0,0.0146,0,10600.0,0,standard
622,4500.0,0.2637,3,13500.0,0,standard
550,9000.0,0.7762,1,27000.0,1,standard
638,4300.0,0.3132,0,12900.0,0,standard
625,5400.0,0.6146,0,16200.0,0,standard
687,5833.0,0.2561,0,17500.0,0,standard
722,7708.0,0.0896,0,23100.0,0,standard
703,31250.0,0.2206,0,93800.0,0,standard
702,6264.0,0.125,1,18800.0,0,standard
622,30000.0,0.4993,1,90000.0,1,standard
733,1279.0,0.0723,0,3800.0,0,standard
616,4401.0,0.6016,0,13200.0,0,standard
551,5400.0,0.647,1,16200.0,1,standard
729,6034.0,0.0379,0,18100.0,0,standard
573,8583.0,0.597,2,25700.0,0,standard
719,20900.0,0.0131,0,62700.0,1,standard
694,8437.0,0.0578,1,25300.0,0,standard
715,10000.0,0.1427,0,30000.0,0,standard
447,7328.0,0.8657,6,22000.0,1,standard
597,7100.0,0.4502,1,21300.0,1,standard
585,4166.0,0.8282,0,12500.0,0,standard
710,2750.0,0.1632,0,8200.0,0,standard
704,3800.0,0.1541,0,11400.0,0,standard
743,7746.0,0.0106,0,23200.0,0,standard
709,4600.0,0.0569,1,13800.0,0,standard
721,12916.0,0.0348,0,38700.0,0,standard
577,6850.0,0.6394,0,20600.0,0,standard
531,6700.0,0.5415,4,20100.0,1,standard
597,7566.0,0.5922,0,22700.0,1,standard
740,10816.0,0.0187,0,32400.0,0,standard
620,7500.0,0.5302,0,22500.0,0,standard
470,3361.0,0.998,4,10100.0,1,standard
616,5583.0,0.4424,0,16700.0,0,standard
748,9794.0,0.014,0,29400.0,0,standard
742,7200.0,0.0,0,21600.0,0,standard
730,13916.0,0.0547,0,41700.0,0,standard
401,4400.0,1.0,5,13200.0,1,standard
683,8335.0,0.2979,0,25000.0,0,standard
664,2450.0,0.2188,0,7400.0,0,standard
723,1500.0,0.1173,0,4500.0,1,standard
698,4500.0,0.2094,0,13500.0,1,standard
490,4000.0,1.0,2,12000.0,1,standard
664,9500.0,0.337,0,28500.0,0,standard
705,8339.0,0.0616,1,25000.0,1,standard
725,8250.0,0.0114,0,24800.0,0,standard
748,6333.0,0.0,0,19000.0,0,standard
608,2226.0,0.4613,0,6700.0,0,standard
535,2268.0,1.0,0,6800.0,1,standard
657,9083.0,0.3616,0,27200.0,0,standard
749,4500.0,0.0058,0,13500.0,0,standard
582,2767.0,0.726,0,8300.0,1,standard
727,9200.0,0.0389,0,27600.0,0,standard
654,12000.0,0.3992,0,36000.0,0,standard
669,10883.0,0.2751,0,32600.0,0,standard
686,3200.0,0.0487,1,9600.0,0,standard
631,18358.0,0.4564,0,55100.0,0,standard
723,6085.0,0.0228,0,18300.0,0,standard
700,17668.0,0.0627,0,53000.0,0,standard
710,3100.0,0.0911,0,9300.0,0,standard
655,3946.0,0.3609,0,11800.0,0,standard
681,9000.0,0.2942,0,27000.0,1,standard
554,7500.0,0.9468,0,22500.0,0,standard
522,5523.0,1.0,0,16600.0,0,standard
606,5333.0,0.6182,0,16000.0,1,standard
750,8000.0,0.0,0,24000.0,0,standard
687,4378.0,0.3003,0,13100.0,0,standard
749,8879.0,0.0096,0,26600.0,0,standard
575,1850.0,0.7771,0,5600.0,0,standard
686,6000.0,0.1818,1,18000.0,0,standard
747,3400.0,0.0188,0,10200.0,0,standard
524,3308.0,0.9018,1,9900.0,0,standard
530,4200.0,1.0,0,12600.0,0,standard
738,2000.0,0.0034,0,6000.0,0,standard
745,2883.0,0.0109,0,8600.0,0,standard
737,10000.0,0.0,0,30000.0,0,standard
512,10400.0,0.7989,2,31200.0,1,standard
580,5444.0,0.7751,0,16300.0,0,standard
670,4700.0,0.211,1,14100.0,0,standard
742,2500.0,0.045,0,7500.0,0,standard
736,5600.0,0.0202,0,16800.0,0,standard
699,21000.0,0.1175,1,63000.0,0,standard
458,5916.0,0.9706,4,17700.0,1,standard
721,12554.0,0.1078,0,37700.0,0,standard
529,7250.0,1.0,0,21800.0,0,standard
733,2792.0,0.0125,0,8400.0,0,standard
552,1350.0,0.8317,0,4000.0,0,standard
694,2282.0,0.2038,0,6800.0,0,standard
712,6300.0,0.077,0,18900.0,0,standard
749,15000.0,0.0,0,45000.0,0,standard
745,2150.0,0.0042,0,6400.0,0,standard
586,3185.0,0.5931,0,9600.0,0,standard
542,1200.0,0.6948,1,3600.0,1,standard
658,3412.0,0.2825,0,10200.0,0,standard
568,5000.0,0.6622,0,15000.0,0,standard
723,4000.0,0.0143,0,12000.0,0,standard
725,3333.0,0.0006,0,10000.0,0,standard
749,3133.0,0.0062,0,9400.0,0,standard
708,8333.0,0.1172,0,25000.0,0,standard
651,6730.0,0.0,4,20200.0,1,standard
750,500.0,0.0,0,1500.0,0,standard
727,6800.0,0.0232,0,20400.0,0,standard
738,3590.0,0.0045,0,10800.0,0,standard
679,3250.0,0.1089,0,9800.0,0,standard
402,4000.0,1.0,7,12000.0,1,standard
627,4700.0,0.2988,1,14100.0,1,standard
735,3600.0,0.0092,0,10800.0,0,standard
720,5043.0,0.1081,0,15100.0,0,standard
456,8945.0,1.0,4,26800.0,1,standard
609,5339.0,0.4714,0,16000.0,0,standard
504,8841.0,0.8471,3,26500.0,0,standard
700,10000.0,0.2455,0,30000.0,0,standard
496,3333.0,1.0,2,10000.0,1,standard
736,2400.0,0.0165,0,7200.0,0,standard
512,3400.0,0.8479,3,10200.0,1,standard
681,3200.0,0.2521,0,9600.0,1,standard
734,7529.0,0.0161,0,22600.0,0,standard
710,11228.0,0.149,0,33700.0,0,standard
720,3000.0,0.0981,0,9000.0,1,standard
650,1200.0,0.2676,0,3600.0,0,standard
531,4166.0,0.7461,2,12500.0,0,standard
745,3200.0,0.0,0,9600.0,0,standard
484,5158.0,1.0,2,15500.0,1,standard
677,5497.0,0.331,0,16500.0,0,standard
692,7583.0,0.2441,0,22700.0,0,standard
720,3333.0,0.0227,0,10000.0,0,standard
726,7866.0,0.0004,0,23600.0,1,standard
706,8166.0,0.0786,1,24500.0,0,standard
707,7500.0,0.094,0,22500.0,0,standard
491,4750.0,0.6206,5,14200.0,1,standard
639,2940.0,0.1935,2,8800.0,1,standard
658,10500.0,0.2016,2,31500.0,0,standard
660,6000.0,0.3471,0,18000.0,1,standard
744,4300.0,0.0341,0,12900.0,0,standard
469,700.0,0.9568,2,2100.0,1,standard
676,14750.0,0.1768,1,44200.0,0,standard
718,7500.0,0.0,1,22500.0,1,standard
740,11412.0,0.0549,0,34200.0,0,standard
732,2650.0,0.0858,0,8000.0,0,standard
627,2167.0,0.5751,0,6500.0,0,standard
727,4956.0,0.0603,0,14900.0,1,standard
671,2300.0,0.0465,1,6900.0,1,standard
721,9380.0,0.0009,1,28100.0,1,standard
739,11000.0,0.0598,0,33000.0,0,standard
725,6361.0,0.0632,0,19100.0,0,standard
742,6740.0,0.01,0,20200.0,0,standard
623,3716.0,0.2922,2,11100.0,0,standard
649,6583.0,0.4856,0,19700.0,0,standard
734,7666.0,0.0278,0,23000.0,0,standard
599,4288.0,0.5457,2,12900.0,1,standard
439,5210.0,1.0,5,15600.0,1,standard
727,5250.0,0.0988,0,15800.0,0,standard
708,15000.0,0.1454,0,45000.0,0,standard
723,7427.0,0.1234,0,22300.0,0,standard
688,3333.0,0.3007,0,10000.0,0,standard
739,5833.0,0.0122,0,17500.0,0,standard
733,11300.0,0.0,0,33900.0,0,standard
701,9800.0,0.1066,0,29400.0,0,standard
550,5594.0,0.6126,3,16800.0,1,standard
716,3938.0,0.0334,0,11800.0,1,standard
547,11166.0,0.8321,0,33500.0,0,standard
579,15000.0,0.7099,1,45000.0,0,standard
500,3330.0,0.9019,1,10000.0,0,standard
530,3006.0,0.7972,3,9000.0,0,standard
572,16900.0,0.6973,0,50700.0,0,standard
547,5300.0,0.9067,0,15900.0,1,standard
405,6624.0,1.0,7,19900.0,1,standard
533,2830.0,0.9962,0,8500.0,0,standard
332,5166.0,1.0,10,15500.0,1,standard
728,8333.0,0.0617,0,25000.0,0,standard
750,6250.0,0.0,0,18800.0,1,standard
734,1750.0,0.0668,0,5200.0,0,standard
675,5316.0,0.2769,0,15900.0,0,standard
689,20100.0,0.2951,0,60300.0,0,standard
650,5500.0,0.3213,0,16500.0,0,standard
580,2496.0,0.3555,3,7500.0,1,standard
746,3833.0,0.0053,0,11500.0,0,standard
453,5000.0,0.9927,4,15000.0,1,standard
745,5393.0,0.0253,0,16200.0,0,standard
719,12402.0,0.0727,0,37200.0,0,standard
741,45833.0,0.0382,0,137500.0,0,standard
547,3000.0,1.0,0,9000.0,0,standard
716,8333.0,0.0559,0,25000.0,1,standard
628,3441.0,0.5983,0,10300.0,0,standard
432,4500.0,0.3443,10,13500.0,1,standard
550,6600.0,0.9677,0,19800.0,0,standard
730,8966.0,0.0216,0,26900.0,0,standard
623,5000.0,0.4954,1,15000.0,0,standard
567,4941.0,0.8706,0,14800.0,0,standard
643,7000.0,0.3622,1,21000.0,0,standard
540,1600.0,1.0,0,4800.0,1,standard
679,7083.0,0.2515,0,21200.0,0,standard
694,6500.0,0.1485,0,19500.0,1,standard
645,2609.0,0.4658,0,7800.0,0,standard
700,7457.0,0.2249,0,22400.0,1,standard
699,12083.0,0.1908,0,36200.0,0,standard
667,500.0,0.1657,0,1500.0,0,standard
730,2875.0,0.0,1,8600.0,0,standard
676,11666.0,0.3162,0,35000.0,0,standard
531,1865.0,1.0,1,5600.0,0,standard
509,15000.0,1.0,1,45000.0,1,standard
736,4000.0,0.0184,0,12000.0,0,standard
686,5769.0,0.2301,0,17300.0,1,standard
684,11444.0,0.2653,0,34300.0,0,standard
713,3333.0,0.0618,0,10000.0,0,standard
532,3436.0,0.8851,0,10300.0,1,standard
746,2541.0,0.024,0,7600.0,0,standard
524,3910.0,1.0,1,11700.0,1,standard
673,2900.0,0.281,0,8700.0,0,standard
568,6400.0,0.5778,2,19200.0,1,standard
675,8970.0,0.3115,0,26900.0,0,standard
708,5583.0,0.1362,0,16700.0,0,standard
486,4000.0,0.9832,1,12000.0,1,standard
729,4800.0,0.0,0,14400.0,0,standard
741,3000.0,0.0455,0,9000.0,0,standard
713,7500.0,0.1166,0,22500.0,0,standard
623,4000.0,0.3864,0,12000.0,1,standard
740,5216.0,0.0309,0,15600.0,0,standard
628,5031.0,0.0,5,15100.0,1,standard
